round,accuracy,training_time,round_time
1,10.027855153203342,48,48
2,14.484679665738161,96,144
3,22.00557103064067,98,242
4,38.71866295264624,98,340
5,39.83286908077994,96,436
6,40.947075208913645,90,526
7,38.16155988857939,100,626
8,48.74651810584958,98,724
9,45.96100278551532,98,822
10,47.353760445682454,68,890
11,43.73259052924791,94,984
12,47.910863509749305,100,1084
13,52.92479108635098,96,1180
14,50.41782729805014,90,1270
15,45.12534818941504,94,1364
16,48.74651810584958,70,1434
17,54.59610027855153,96,1530
18,49.30362116991643,96,1626
19,55.15320334261838,100,1726
20,54.59610027855153,98,1824
21,54.874651810584965,94,1918
22,56.824512534818936,84,2002
23,57.381615598885794,86,2088
24,56.26740947075209,96,2184
25,63.231197771587745,100,2284
26,57.938718662952645,98,2382
27,55.15320334261838,82,2464
28,54.59610027855153,94,2558
29,58.21727019498607,94,2652
30,62.116991643454035,90,2742
31,64.06685236768801,100,2842
32,62.39554317548747,98,2940
33,62.116991643454035,78,3018
34,56.26740947075209,98,3116
35,63.788300835654596,96,3212
36,60.16713091922006,74,3286
37,58.495821727019504,88,3374
38,62.39554317548747,100,3474
39,65.45961002785515,62,3536
40,61.00278551532033,86,3622
41,61.83844011142061,94,3716
42,64.62395543175488,90,3806
43,63.50974930362116,86,3892
44,65.73816155988858,78,3970
45,67.1309192200557,86,4056
46,54.874651810584965,96,4152
47,61.00278551532033,76,4228
48,69.91643454038997,90,4318
49,66.01671309192201,100,4418
50,57.66016713091921,80,4498
51,69.35933147632312,94,4592
52,66.01671309192201,76,4668
53,68.24512534818942,88,4756
54,66.01671309192201,100,4856
55,67.40947075208913,92,4948
56,67.1309192200557,94,5042
57,65.45961002785515,96,5138
